0.001	0.000012499995791863401
0.251	0.000012237099021732152
0.501	0.000011478599720711476
0.751	0.000010298798060441601
1.001	8.81047845410627e-6
1.251	7.150323693026768e-6
1.501	5.461710082226019e-6
1.751	3.8774330355637114e-6
2.001	2.5048409368053153e-6
2.251	1.4153877354867036e-6
2.501	6.398415328387546e-7
2.751	1.694474351929336e-7
3.001	-3.759749907377551e-8
3.251	-4.5782846182222493e-8
3.501	7.00354074997871e-8
3.751	2.3683533400959568e-7
4.001	3.936359727327381e-7
4.251	4.98339002701083e-7
4.501	5.305254728013646e-7
4.751	4.902749920057752e-7
5.001	3.9374138055409836e-7
5.251	2.6669311722766365e-7
5.501	1.374403490508604e-7
5.751	3.050708585612006e-8
6.001	-3.7895871747565914e-8
6.251	-6.200639424968467e-8
6.501	-4.618805235639244e-8
6.751	-2.560659824450519e-9
7.001	5.2657274789154505e-8
7.251	1.0317540432986539e-7
7.501	1.3614736007889362e-7
7.751	1.445049676293624e-7
8.001	1.2776245007819366e-7
8.251	9.130060829449383e-8
8.501	4.4459121355262986e-8
8.751	-2.0184153598430302e-9
9.001	-3.8562221889297356e-8
9.251	-5.8812701099468336e-8
9.501	-6.072590608279648e-8
9.751	-4.6599773097226284e-8
10.001	-2.21230294375414e-8
10.251	5.246539312727015e-9
10.501	2.8148666465784188e-8
10.751	4.099109493366938e-8
11.001	4.1066328364265835e-8
11.251	2.891211817071522e-8
11.501	7.900035541026816e-9
11.751	-1.6788697405893495e-8
12.001	-3.951605126589052e-8
