0.001	0.000012437883744442768
0.251	0.00001217758984528583
0.501	0.000011426599493297163
0.751	0.000010258475346663909
1.001	8.784883068435612e-6
1.251	7.141150919265371e-6
1.501	5.469235949906448e-6
1.751	3.900620732411042e-6
2.001	2.541593852045665e-6
2.251	1.4629050252845666e-6
2.501	6.950202258160232e-7
2.751	2.2927245013626418e-7
3.001	2.4272468663461e-8
3.251	1.616796491132888e-8
3.501	1.308423105972345e-7
3.751	2.9599475093178285e-7
4.001	4.5124661696149815e-7
4.251	5.549154328265971e-7
4.501	5.867839742434988e-7
4.751	5.469310763728252e-7
5.001	4.5135098369897264e-7
5.251	3.255576229155288e-7
5.501	1.9758149866211383e-7
5.751	9.170440362638033e-8
6.001	2.3977042462597353e-8
6.251	1.0465073252419188e-10
6.501	1.5766761035651555e-8
6.751	5.8963260107791626e-8
7.001	1.1363581919887622e-7
7.251	1.6365498739512319e-7
7.501	1.963012813410714e-7
7.751	2.0457633986836754e-7
8.001	1.879991884390364e-7
8.251	1.5189747759603023e-7
8.501	1.0551863754981738e-7
8.751	5.9500148807956066e-8
9.001	2.331727372295589e-8
9.251	3.2668012739378582e-9
9.501	1.3724915648438696e-9
9.751	1.5359106597667704e-8
10.001	3.959410160847554e-8
10.251	6.669334939868321e-8
10.501	8.936927808900208e-8
10.751	1.0208486411755757e-7
11.001	1.0215935430935019e-7
11.251	9.012518881190701e-8
11.501	6.932063822961965e-8
11.751	4.4875747950978706e-8
12.001	2.2372864671993398e-8
